NUMBER,GAS_USED,TXS,TIMESTAMP
238987,44289000,2109,1614072728
238988,45843000,2183,1614072766
238989,58107000,2767,1614072779
238990,3360000,160,1614072780
238991,69237000,3297,1614072788
238992,16632000,792,1614072802
238993,74319000,3539,1614072829
238994,22890000,1090,1614072832
238995,62937000,2997,1614072851
238996,45213000,2153,1614072874
238997,42672000,2032,1614072882
238998,28581000,1361,1614072886
238999,53088000,2528,1614072892
239000,43449000,2069,1614072897
239001,64701000,3081,1614072907
239002,31668000,1508,1614072916
239003,53550000,2550,1614072948
239004,54600000,2600,1614072968
239005,9723000,463,1614072969
239006,75726000,3606,1614072986
239007,32424000,1544,1614073002
239008,26502000,1262,1614073006
239009,74676000,3556,1614073015
239010,31752000,1512,1614073038
239011,22050000,1050,1614073042
239012,38661000,1841,1614073047
239013,15498000,738,1614073049
239014,62391000,2971,1614073056
239015,22827000,1087,1614073069
239016,29778000,1418,1614073075
239017,10332000,492,1614073077
239018,75621000,3601,1614073091
239019,32529000,1549,1614073120
239020,12642000,602,1614073122
239021,85239000,4059,1614073132
239022,22911000,1091,1614073136
239023,62496000,2976,1614073162
239024,22743000,1083,1614073167
239025,26964000,1284,1614073170
239026,58548000,2788,1614073187
239027,49098000,2338,1614073201
239028,42231000,2011,1614073210
239029,38955000,1855,1614073217
239030,33306000,1586,1614073221
239031,66129000,3149,1614073229
239032,30345000,1445,1614073233
239033,58485000,2785,1614073271
239034,22050000,1050,1614073276
239035,70350000,3350,1614073286
239036,15393000,733,1614073311
239037,57078000,2718,1614073318
239038,51072000,2432,1614073328
239039,57078000,2718,1614073344
239040,40593000,1933,1614073351
239041,54600000,2600,1614073361
239042,35700000,1700,1614073382
239043,72450000,3450,1614073409
239044,26250000,1250,1614073412
239045,49224000,2344,1614073418
239046,36393000,1733,1614073433
239047,33138000,1578,1614073439
239048,29673000,1413,1614073443
239049,55545000,2645,1614073450
239050,30198000,1438,1614073464
239051,77679000,3699,1614073479
239052,24801000,1181,1614073484
239053,77427000,3687,1614073519
239054,30723000,1463,1614073536
239055,42063000,2003,1614073541
239056,20643000,983,1614073544
239057,64407000,3067,1614073557
239058,23100000,1100,1614073564
239059,18858000,898,1614073566
239060,16569000,789,1614073568
239061,79758000,3798,1614073580
239062,7350000,350,1614073592
239063,58065000,2765,1614073600
239064,34650000,1650,1614073612
239065,72660000,3460,1614073626
239066,35490000,1690,1614073643
239067,72450000,3450,1614073653
239068,31500000,1500,1614073685
239069,76650000,3650,1614073700
239070,17283000,823,1614073706
239071,20748000,988,1614073709
239072,35490000,1690,1614073713
239073,28329000,1349,1614073717
239074,11067000,527,1614073718
239075,36750000,1750,1614073723
239076,48363000,2303,1614073738
239077,23037000,1097,1614073741
239078,55083000,2623,1614073748
239079,30072000,1432,1614073774
239080,74970000,3570,1614073788
239081,29106000,1386,1614073799
239082,21924000,1044,1614073802
239083,23100000,1100,1614073805
239084,62706000,2986,1614073824
239085,38808000,1848,1614073830
239086,51891000,2471,1614073837
239087,34965000,1665,1614073850
239088,50085000,2385,1614073884
239089,34965000,1665,1614073915
239090,33600000,1600,1614073919
239091,61950000,2950,1614073930
239092,22050000,1050,1614073937
239093,24423000,1163,1614073940
239094,51954000,2474,1614073946
239095,51723000,2463,1614073970
239096,33117000,1577,1614073994
239097,52206000,2486,1614074011
239098,55230000,2630,1614074022
239099,32067000,1527,1614074028
239100,23100000,1100,1614074031
239101,62055000,2955,1614074059
239102,13440000,640,1614074061
